Indikator,Ausprägung,Jahr,Raumbezug,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Arbeitslose,55 Jahre und älter,2006,14 Berg am Laim,"14,8",263.8,1787.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,15 Trudering - Riem,"14,9",229.5,1536,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,16 Ramersdorf - Perlach,19,1001.5,5277.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,17 Obergiesing - Fasangarten,"16,5",339.3,2056.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,18 Untergiesing - Harlaching,"16,6",314.5,1896.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"22,7",545.3,2407,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,20 Hadern,19,315,1658.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,21 Pasing - Obermenzing,"18,3",389.8,2128,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,22 Aubing - Lochhausen - Langwied,"17,4",292.8,1681.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,23 Allach - Untermenzing,"15,7",115.8,735.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,24 Feldmoching - Hasenbergl,16,419.8,2630.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2006,25 Laim,18,341,1896,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,Stadt München,"16,9",10192,60348.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,01 Altstadt - Lehel,"17,4",125.3,721,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,02 Ludwigsvorstadt - Isarvorstadt,"16,8",414.3,2459.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,03 Maxvorstadt,17,298.3,1751.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,04 Schwabing - West,"17,5",382.8,2181.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,05 Au - Haidhausen,"17,3",412,2382,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,06 Sendling,"16,6",332.3,1999,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,07 Sendling - Westpark,"18,5",484,2620,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,08 Schwanthalerhöhe,"19,9",319.8,1604.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,09 Neuhausen - Nymphenburg,17,608.3,3573.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,10 Moosach,"17,1",403,2363.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,11 Milbertshofen - Am Hart,"16,4",630.8,3847.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,12 Schwabing - Freimann,"15,5",364,2344.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,13 Bogenhausen,"17,8",437.3,2452.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,14 Berg am Laim,"15,6",331,2115.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,15 Trudering - Riem,"14,2",220,1553.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,16 Ramersdorf - Perlach,"18,2",1083.5,5950,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,17 Obergiesing - Fasangarten,"16,3",404.3,2474.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,18 Untergiesing - Harlaching,16,353.5,2206.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"19,7",576.3,2928.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,20 Hadern,"18,5",317.5,1712.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,21 Pasing - Obermenzing,"16,7",372.3,2222.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,22 Aubing - Lochhausen - Langwied,"14,7",275.8,1875,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,23 Allach - Untermenzing,"15,4",133.5,868,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,24 Feldmoching - Hasenbergl,"14,6",441.8,3031.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2005,25 Laim,"16,6",367.3,2209.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,Stadt München,"14,5",6728.8,46361.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,01 Altstadt - Lehel,"15,1",94.5,624,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,02 Ludwigsvorstadt - Isarvorstadt,"13,1",267,2038.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,03 Maxvorstadt,"12,9",205.3,1591.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,04 Schwabing - West,"14,3",267.5,1871.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,05 Au - Haidhausen,"13,5",274.3,2037,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,06 Sendling,14,212.5,1513.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,07 Sendling - Westpark,15,290.3,1931,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,08 Schwanthalerhöhe,"18,6",242.8,1305.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,09 Neuhausen - Nymphenburg,"13,8",382,2767.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,10 Moosach,"15,9",266.8,1681.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,11 Milbertshofen - Am Hart,14,375,2683,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,12 Schwabing - Freimann,"13,6",255.3,1882.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,13 Bogenhausen,"15,8",323.5,2043.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,14 Berg am Laim,"13,9",219.3,1571.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,15 Trudering - Riem,14,177.3,1263,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,16 Ramersdorf - Perlach,"15,8",633.5,4005.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,17 Obergiesing - Fasangarten,"13,6",264,1939.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,18 Untergiesing - Harlaching,"14,1",245.5,1737,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"16,9",418,2478.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,20 Hadern,"15,8",205.8,1306.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,21 Pasing - Obermenzing,"14,7",259,1767.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,22 Aubing - Lochhausen - Langwied,"12,6",162.3,1287.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,23 Allach - Untermenzing,"14,9",105,706.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,24 Feldmoching - Hasenbergl,"13,4",268.3,1996.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2004,25 Laim,"14,4",262.5,1823.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,Stadt München,"14,9",7166.3,48062.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,01 Altstadt - Lehel,"14,5",97.3,671.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,02 Ludwigsvorstadt - Isarvorstadt,"12,7",281,2209.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,03 Maxvorstadt,"12,7",226.3,1777.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,04 Schwabing - West,"14,9",297.5,2001.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,05 Au - Haidhausen,"13,1",285.8,2183.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,06 Sendling,"13,9",211.3,1521.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,07 Sendling - Westpark,"15,8",300.5,1901.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,08 Schwanthalerhöhe,"18,9",259.5,1371.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,09 Neuhausen - Nymphenburg,"12,8",378,2951.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,10 Moosach,"16,1",283.3,1763.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,11 Milbertshofen - Am Hart,"13,8",381,2761.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,12 Schwabing - Freimann,"13,6",275.3,2021.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,13 Bogenhausen,"17,4",379.3,2181.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,14 Berg am Laim,"14,5",235.5,1620.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,15 Trudering - Riem,"13,6",175,1290,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,16 Ramersdorf - Perlach,"15,9",642.8,4045.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,17 Obergiesing - Fasangarten,"12,9",252,1953,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,18 Untergiesing - Harlaching,"13,6",248.3,1822.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"17,9",458,2564.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,20 Hadern,"16,8",220,1312,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,21 Pasing - Obermenzing,"16,5",293.5,1779.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,22 Aubing - Lochhausen - Langwied,"17,1",219.5,1283.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,23 Allach - Untermenzing,"15,8",113,715.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,24 Feldmoching - Hasenbergl,"14,5",300.5,2068.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2003,25 Laim,"16,1",302.8,1880,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,Stadt München,"18,3",7388.8,40387.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,01 Altstadt - Lehel,"17,8",101.5,571,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,02 Ludwigsvorstadt - Isarvorstadt,"15,3",300.5,1960.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,03 Maxvorstadt,"16,7",254.5,1520.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,04 Schwabing - West,"19,1",322.3,1690.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,05 Au - Haidhausen,"15,2",288.3,1901,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,06 Sendling,"16,3",211.8,1299.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,07 Sendling - Westpark,"19,7",312,1581.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,08 Schwanthalerhöhe,"19,7",230.3,1166,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,09 Neuhausen - Nymphenburg,"16,6",411,2468.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,10 Moosach,18,255.8,1423.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,11 Milbertshofen - Am Hart,"15,3",364.3,2375,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,12 Schwabing - Freimann,"17,2",287.5,1671.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,13 Bogenhausen,"22,3",412,1850,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,14 Berg am Laim,"17,9",249.8,1397.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,15 Trudering - Riem,"18,6",194,1043.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,16 Ramersdorf - Perlach,"19,4",662.8,3417,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,17 Obergiesing - Fasangarten,"14,7",238.8,1619.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,18 Untergiesing - Harlaching,"17,4",261.3,1499,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"24,4",509.8,2091.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,20 Hadern,"21,4",236.5,1106.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,21 Pasing - Obermenzing,"19,4",283.5,1460.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,22 Aubing - Lochhausen - Langwied,"21,3",221.3,1036.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,23 Allach - Untermenzing,"21,7",129.5,597.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,24 Feldmoching - Hasenbergl,"17,9",309.5,1726.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2002,25 Laim,"18,7",293,1568.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,Stadt München,"24,1",7578,31401,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,01 Altstadt - Lehel,"24,2",105.3,435.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,02 Ludwigsvorstadt - Isarvorstadt,"20,2",310.3,1533,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,03 Maxvorstadt,"22,2",253.5,1143.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,04 Schwabing - West,"24,1",320.8,1332.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,05 Au - Haidhausen,"19,7",280,1421.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,06 Sendling,21,209.3,995.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,07 Sendling - Westpark,"24,7",316.8,1282,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,08 Schwanthalerhöhe,"23,8",216,909,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,09 Neuhausen - Nymphenburg,"21,5",418.3,1947.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,10 Moosach,"23,6",260.3,1103,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,11 Milbertshofen - Am Hart,"19,9",367.5,1846.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,12 Schwabing - Freimann,"23,2",302.8,1304.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,13 Bogenhausen,"30,1",410.5,1361.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,14 Berg am Laim,"21,3",226.5,1065.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,15 Trudering - Riem,"25,7",199.5,776.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,16 Ramersdorf - Perlach,"25,7",686.5,2669.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,17 Obergiesing - Fasangarten,"21,2",262.3,1238.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,18 Untergiesing - Harlaching,"23,1",268.8,1164.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"31,1",512.8,1649.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,20 Hadern,"29,2",252.8,864.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,21 Pasing - Obermenzing,"27,3",336,1231,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,22 Aubing - Lochhausen - Langwied,"30,3",259.3,854.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,23 Allach - Untermenzing,"29,7",137.3,462.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,24 Feldmoching - Hasenbergl,"23,4",311.3,1329.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2001,25 Laim,"24,5",305.3,1246.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,Stadt München,33,10787.8,32736.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,01 Altstadt - Lehel,"29,7",122,411,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,02 Ludwigsvorstadt - Isarvorstadt,"28,4",452,1589.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,03 Maxvorstadt,"27,8",323.3,1161.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,04 Schwabing - West,"32,6",429,1314.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,05 Au - Haidhausen,"28,4",400.8,1411.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,06 Sendling,"30,9",304.3,984,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,07 Sendling - Westpark,"33,8",453.3,1342.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,08 Schwanthalerhöhe,"30,9",292.3,946,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,09 Neuhausen - Nymphenburg,27,522.3,1934.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,10 Moosach,"32,1",368.5,1146.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,11 Milbertshofen - Am Hart,"28,3",547.8,1936.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,12 Schwabing - Freimann,30,402,1339.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,13 Bogenhausen,"38,5",533,1384.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,14 Berg am Laim,"29,1",337.8,1162.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,15 Trudering - Riem,"37,9",294.8,777.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,16 Ramersdorf - Perlach,"33,7",956.5,2834.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,17 Obergiesing - Fasangarten,"29,9",376.5,1260.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,18 Untergiesing - Harlaching,"30,9",372.3,1204,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,2",831.3,1881,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,20 Hadern,"38,9",360.5,927.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,21 Pasing - Obermenzing,"35,7",476.8,1335,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,22 Aubing - Lochhausen - Langwied,"40,8",410,1006,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,23 Allach - Untermenzing,"41,7",229,549.5,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,24 Feldmoching - Hasenbergl,"35,6",506.3,1421.8,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose,55 Jahre und älter,2000,25 Laim,"33,3",429.5,1290.3,Arbeitslose (55 Jahre und älter),Arbeitslose (insgesamt)
Arbeitslose - Anteil,deutsch,2022,Stadt München,"2,6",18484.3,724417.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
Arbeitslose - Anteil,deutsch,2022,01 Altstadt - Lehel,"1,8",197,10885.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
Arbeitslose - Anteil,deutsch,2022,02 Ludwigsvorstadt - Isarvorstadt,"2,6",726,28025.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
Arbeitslose - Anteil,deutsch,2022,03 Maxvorstadt,"2,1",607.5,29238.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
